threshold,precision,recall,f1,fbeta,false_positives,false_negatives,true_positives,true_negatives
0.3,0.7094017094017094,0.9431818181818182,0.8097560975609757,0.8357072691552063,136,20,332,16178
0.31,0.7109207708779444,0.9431818181818182,0.8107448107448108,0.8365290068829893,135,20,332,16179
0.32,0.7155172413793104,0.9431818181818182,0.8137254901960784,0.8390039447731757,132,20,332,16182
0.33,0.7217391304347827,0.9431818181818182,0.8177339901477833,0.8423267326732675,128,20,332,16186
0.34,0.7248908296943232,0.9431818181818182,0.8197530864197531,0.8439980158730159,126,20,332,16188
0.35000000000000003,0.7280701754385965,0.9431818181818182,0.8217821782178217,0.8456759443339961,124,20,332,16190
0.36000000000000004,0.7274725274725274,0.9403409090909091,0.8203221809169765,0.8439676616915422,124,21,331,16190
0.37000000000000005,0.7323008849557522,0.9403409090909091,0.8233830845771144,0.8464945109780438,121,21,331,16193
0.38000000000000006,0.7317073170731707,0.9375,0.821917808219178,0.8447802197802197,121,22,330,16193
0.39000000000000007,0.732739420935412,0.9346590909090909,0.8214731585518102,0.8439064064064065,120,23,329,16194
0.4000000000000001,0.7337807606263982,0.9318181818181818,0.8210262828535669,0.8430290872617854,119,24,328,16195
0.4100000000000001,0.7337807606263982,0.9318181818181818,0.8210262828535669,0.8430290872617854,119,24,328,16195
0.4200000000000001,0.7331838565022422,0.9289772727272727,0.8195488721804511,0.8413027108433735,119,25,327,16195
0.4300000000000001,0.7381489841986456,0.9289772727272727,0.8226415094339623,0.843844410876133,116,25,327,16198
0.4400000000000001,0.7414965986394558,0.9289772727272727,0.8247162673392182,0.8455474268415741,114,25,327,16200
0.4500000000000001,0.744874715261959,0.9289772727272727,0.8268015170670038,0.8472573306370071,112,25,327,16202
0.46000000000000013,0.7465753424657534,0.9289772727272727,0.8278481012658228,0.8481148785425101,111,25,327,16203
0.47000000000000014,0.7465753424657534,0.9289772727272727,0.8278481012658228,0.8481148785425101,111,25,327,16203
0.48000000000000015,0.7465753424657534,0.9289772727272727,0.8278481012658228,0.8481148785425101,111,25,327,16203
0.49000000000000016,0.7465753424657534,0.9289772727272727,0.8278481012658228,0.8481148785425101,111,25,327,16203
0.5000000000000002,0.7482837528604119,0.9289772727272727,0.8288973384030418,0.8489741641337387,110,25,327,16204
0.5100000000000002,0.7517241379310344,0.9289772727272727,0.8310038119440915,0.8506979695431471,108,25,327,16206
0.5200000000000002,0.7528868360277137,0.9261363636363636,0.8305732484076433,0.8498219735503562,107,26,326,16207
0.5300000000000002,0.7546296296296297,0.9261363636363636,0.8316326530612245,0.8506873727087577,106,26,326,16208
0.5400000000000003,0.7546296296296297,0.9261363636363636,0.8316326530612245,0.8506873727087577,106,26,326,16208
0.5500000000000003,0.7616822429906542,0.9261363636363636,0.8358974358974359,0.8541666666666666,102,26,326,16212
0.5600000000000003,0.7616822429906542,0.9261363636363636,0.8358974358974359,0.8541666666666666,102,26,326,16212
0.5700000000000003,0.7616822429906542,0.9261363636363636,0.8358974358974359,0.8541666666666666,102,26,326,16212
0.5800000000000003,0.7634660421545667,0.9261363636363636,0.8369704749679076,0.855040941658137,101,26,326,16213
0.5900000000000003,0.7652582159624414,0.9261363636363636,0.8380462724935732,0.8559170081967213,100,26,326,16214
0.6000000000000003,0.7652582159624414,0.9261363636363636,0.8380462724935732,0.8559170081967213,100,26,326,16214
0.6100000000000003,0.7652582159624414,0.9261363636363636,0.8380462724935732,0.8559170081967213,100,26,326,16214
0.6200000000000003,0.7670588235294118,0.9261363636363636,0.8391248391248392,0.8567948717948718,99,26,326,16215
0.6300000000000003,0.7701421800947867,0.9232954545454546,0.8397932816537468,0.8568029835390947,97,27,325,16217
0.6400000000000003,0.7719714964370546,0.9232954545454546,0.8408796895213454,0.8576853759011329,96,27,325,16218
0.6500000000000004,0.7719714964370546,0.9232954545454546,0.8408796895213454,0.8576853759011329,96,27,325,16218
0.6600000000000004,0.7719714964370546,0.9232954545454546,0.8408796895213454,0.8576853759011329,96,27,325,16218
0.6700000000000004,0.7751196172248804,0.9204545454545454,0.8415584415584415,0.8576962809917354,94,28,324,16220
0.6800000000000004,0.7807228915662651,0.9204545454545454,0.8448500651890483,0.8603626943005181,91,28,324,16223
0.6900000000000004,0.7807228915662651,0.9204545454545454,0.8448500651890483,0.8603626943005181,91,28,324,16223
0.7000000000000004,0.7807228915662651,0.9204545454545454,0.8448500651890483,0.8603626943005181,91,28,324,16223
0.7100000000000004,0.784503631961259,0.9204545454545454,0.8470588235294118,0.8621495327102804,89,28,324,16225
0.7200000000000004,0.7853658536585366,0.9147727272727273,0.8451443569553806,0.8595052083333334,88,30,322,16226
0.7300000000000004,0.7911547911547911,0.9147727272727273,0.8484848484848485,0.8621995820271681,85,30,322,16229
0.7400000000000004,0.7925925925925926,0.9119318181818182,0.8480845442536328,0.8613219895287959,84,31,321,16230
0.7500000000000004,0.7945544554455446,0.9119318181818182,0.8492063492063492,0.8622248427672956,83,31,321,16231
0.7600000000000005,0.7965260545905707,0.9119318181818182,0.8503311258278146,0.863129590766002,82,31,321,16232
0.7700000000000005,0.7975,0.90625,0.848404255319149,0.8604605263157894,81,33,319,16233
0.7800000000000005,0.7989949748743719,0.9034090909090909,0.848,0.8595727848101267,80,34,318,16234
0.7900000000000005,0.8005050505050505,0.9005681818181818,0.8475935828877005,0.858681289640592,79,35,317,16235
0.8000000000000005,0.799492385786802,0.8948863636363636,0.8445040214477212,0.8550715042372883,79,37,315,16235
