threshold,precision,recall,f1,fbeta,false_positives,false_negatives,true_positives,true_negatives
0.3,0.8404255319148937,0.8977272727272727,0.8681318681318682,0.8744600431965442,60,36,316,16254
0.31,0.8404255319148937,0.8977272727272727,0.8681318681318682,0.8744600431965442,60,36,316,16254
0.32,0.8422459893048129,0.8948863636363636,0.8677685950413223,0.8735795454545454,59,37,315,16255
0.33,0.8445040214477212,0.8948863636363636,0.8689655172413793,0.8745260021668472,58,37,315,16256
0.34,0.8445040214477212,0.8948863636363636,0.8689655172413793,0.8745260021668472,58,37,315,16256
0.35000000000000003,0.8445040214477212,0.8948863636363636,0.8689655172413793,0.8745260021668472,58,37,315,16256
0.36000000000000004,0.8445040214477212,0.8948863636363636,0.8689655172413793,0.8745260021668472,58,37,315,16256
0.37000000000000005,0.8467741935483871,0.8948863636363636,0.8701657458563536,0.8754745119305857,57,37,315,16257
0.38000000000000006,0.8490566037735849,0.8948863636363636,0.8713692946058091,0.8764250814332247,56,37,315,16258
0.39000000000000007,0.8536585365853658,0.8948863636363636,0.8737864077669902,0.8783324265505985,54,37,315,16260
0.4000000000000001,0.8536585365853658,0.8948863636363636,0.8737864077669902,0.8783324265505985,54,37,315,16260
0.4100000000000001,0.8536585365853658,0.8948863636363636,0.8737864077669902,0.8783324265505985,54,37,315,16260
0.4200000000000001,0.8536585365853658,0.8948863636363636,0.8737864077669902,0.8783324265505985,54,37,315,16260
0.4300000000000001,0.8536585365853658,0.8948863636363636,0.8737864077669902,0.8783324265505985,54,37,315,16260
0.4400000000000001,0.8536585365853658,0.8948863636363636,0.8737864077669902,0.8783324265505985,54,37,315,16260
0.4500000000000001,0.8536585365853658,0.8948863636363636,0.8737864077669902,0.8783324265505985,54,37,315,16260
0.46000000000000013,0.8559782608695652,0.8948863636363636,0.875,0.8792892156862746,53,37,315,16261
0.47000000000000014,0.8559782608695652,0.8948863636363636,0.875,0.8792892156862746,53,37,315,16261
0.48000000000000015,0.8555858310626703,0.8920454545454546,0.8734353268428373,0.877453653217012,53,38,314,16261
0.49000000000000016,0.8555858310626703,0.8920454545454546,0.8734353268428373,0.877453653217012,53,38,314,16261
0.5000000000000002,0.8555858310626703,0.8920454545454546,0.8734353268428373,0.877453653217012,53,38,314,16261
0.5100000000000002,0.8555858310626703,0.8920454545454546,0.8734353268428373,0.877453653217012,53,38,314,16261
0.5200000000000002,0.8555858310626703,0.8920454545454546,0.8734353268428373,0.877453653217012,53,38,314,16261
0.5300000000000002,0.8555858310626703,0.8920454545454546,0.8734353268428373,0.877453653217012,53,38,314,16261
0.5400000000000003,0.8555858310626703,0.8920454545454546,0.8734353268428373,0.877453653217012,53,38,314,16261
0.5500000000000003,0.8579234972677595,0.8920454545454546,0.8746518105849582,0.8784115720524018,52,38,314,16262
0.5600000000000003,0.8602739726027397,0.8920454545454546,0.8758716875871687,0.8793715846994536,51,38,314,16263
0.5700000000000003,0.8602739726027397,0.8920454545454546,0.8758716875871687,0.8793715846994536,51,38,314,16263
0.5800000000000003,0.8598901098901099,0.8892045454545454,0.8743016759776536,0.8775300875273523,51,39,313,16263
0.5900000000000003,0.859504132231405,0.8863636363636364,0.8727272727272727,0.8756845564074479,51,40,312,16263
0.6000000000000003,0.8638888888888889,0.8835227272727273,0.8735955056179775,0.8757554945054946,49,41,311,16265
0.6100000000000003,0.8659217877094972,0.8806818181818182,0.8732394366197183,0.8748623348017621,48,42,310,16266
0.6200000000000003,0.8732394366197183,0.8806818181818182,0.8769448373408769,0.8777624309392266,45,42,310,16269
0.6300000000000003,0.8732394366197183,0.8806818181818182,0.8769448373408769,0.8777624309392266,45,42,310,16269
0.6400000000000003,0.8757062146892656,0.8806818181818182,0.8781869688385269,0.878733407079646,44,42,310,16270
0.6500000000000004,0.8757062146892656,0.8806818181818182,0.8781869688385269,0.878733407079646,44,42,310,16270
0.6600000000000004,0.8781869688385269,0.8806818181818182,0.8794326241134752,0.8797065337763013,43,42,310,16271
0.6700000000000004,0.8831908831908832,0.8806818181818182,0.8819345661450925,0.8816592674805772,41,42,310,16273
0.6800000000000004,0.8857142857142857,0.8806818181818182,0.8831908831908832,0.8826388888888889,40,42,310,16274
0.6900000000000004,0.8857142857142857,0.8806818181818182,0.8831908831908832,0.8826388888888889,40,42,310,16274
0.7000000000000004,0.8853868194842407,0.8778409090909091,0.8815977175463623,0.8807703003337042,40,43,309,16274
0.7100000000000004,0.8904899135446686,0.8778409090909091,0.8841201716738197,0.8827341137123746,38,43,309,16276
0.7200000000000004,0.8904899135446686,0.8778409090909091,0.8841201716738197,0.8827341137123746,38,43,309,16276
0.7300000000000004,0.8930635838150289,0.8778409090909091,0.8853868194842407,0.8837193080357143,37,43,309,16277
0.7400000000000004,0.8927536231884058,0.875,0.8837876614060258,0.8818435754189945,37,44,308,16277
0.7500000000000004,0.8927536231884058,0.875,0.8837876614060258,0.8818435754189945,37,44,308,16277
0.7600000000000005,0.8924418604651163,0.8721590909090909,0.882183908045977,0.8799636465324385,37,45,307,16277
0.7700000000000005,0.8924418604651163,0.8721590909090909,0.882183908045977,0.8799636465324385,37,45,307,16277
0.7800000000000005,0.8976608187134503,0.8721590909090909,0.8847262247838616,0.8819366591928254,35,45,307,16279
0.7900000000000005,0.8997050147492626,0.8664772727272727,0.8827785817655571,0.8791479190101237,34,47,305,16280
0.8000000000000005,0.8997050147492626,0.8664772727272727,0.8827785817655571,0.8791479190101237,34,47,305,16280
